[21:48:22] SUBIDA N6B — mundos {'D': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4, 'metas2': True, 'min_salidas': 3, 'margen': 2, 'p_max': 18}, 'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}} r_vis=1 T=100000 n_tel=40 semillas 14621-14640 brazos 11 pool=6 pid=24256 mundo_subida_b 214d5763758473fa
[21:48:22]   tronco v14.2 (inspect, difiere del defecto del mundo): {'eta_s': 0.15, 'clip_s': 10.0, 'mask_rel': 2, 'puerta_pat': 5, 'desambiguar': 1}
[21:48:22]   regla 14 CIEGO   vs subida_n6 CIEGO: 14 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[21:48:22]   regla 14 GF      vs subida_n6 GF   : 16 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[21:48:22]   regla 14 GFX     vs subida_n6 GF   : 16 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'explora', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[21:48:22]   regla 14 UNA     vs subida_n6 GF   : 16 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'explora', 'mask_rel', 'puerta_pat'] (todas declaradas)
[21:48:22]   regla 14 GFX_13  vs subida_n6 GF   : 16 campos; difieren ['explora', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max'] (todas declaradas)
[21:48:40]   1/220  CIEGO s14623  17.1s
[21:48:40]   2/220  CIEGO s14624  17.4s
[21:48:41]   3/220  CIEGO s14626  17.6s
[21:48:41]   4/220  CIEGO s14621  17.8s
[21:48:41]   5/220  CIEGO s14625  17.9s
[21:48:41]   6/220  CIEGO s14622  18.0s
[21:48:58]   7/220  CIEGO s14627  17.9s
[21:48:58]   8/220  CIEGO s14628  17.7s
[21:48:58]   9/220  CIEGO s14629  17.6s
[21:48:59]   10/220  CIEGO s14631  17.8s
[21:48:59]   11/220  CIEGO s14630  18.2s
[21:48:59]   12/220  CIEGO s14632  18.0s
[21:49:14]   13/220  CIEGO s14633  15.6s
[21:49:14]   14/220  CIEGO s14634  15.8s
[21:49:14]   15/220  CIEGO s14635  15.8s
[21:49:14]   16/220  CIEGO s14637  15.3s
[21:49:15]   17/220  CIEGO s14638  15.5s
[21:49:15]   18/220  CIEGO s14636  16.0s
[21:49:29]   19/220  GF s14621  15.1s
[21:49:29]   20/220  GF s14622  15.2s
[21:49:29]   21/220  CIEGO s14639  15.9s
[21:49:30]   22/220  CIEGO s14640  15.9s
[21:49:30]   23/220  GF s14623  15.9s
[21:49:31]   24/220  GF s14624  16.4s
[21:49:45]   25/220  GF s14627  15.5s
[21:49:45]   26/220  GF s14628  15.3s
[21:49:46]   27/220  GF s14625  17.0s
[21:49:46]   28/220  GF s14629  15.9s
[21:49:47]   29/220  GF s14626  17.1s
[21:49:47]   30/220  GF s14630  16.4s
[21:50:00]   31/220  GF s14632  14.8s
[21:50:01]   32/220  GF s14633  14.8s
[21:50:01]   33/220  GF s14631  16.4s
[21:50:02]   34/220  GF s14635  15.6s
[21:50:02]   35/220  GF s14636  14.7s
[21:50:03]   36/220  GF s14634  16.4s
[21:50:16]   37/220  GF s14637  16.0s
[21:50:16]   38/220  GF s14638  14.9s
[21:50:17]   39/220  GFV s14621  14.4s
[21:50:17]   40/220  GFV s14622  14.4s
[21:50:17]   41/220  GF s14639  15.8s
[21:50:18]   42/220  GF s14640  15.8s
[21:50:31]   43/220  GFV s14623  15.0s
[21:50:32]   44/220  GFV s14624  16.0s
[21:50:32]   45/220  GFV s14627  14.8s
[21:50:32]   46/220  GFV s14625  15.5s
[21:50:32]   47/220  GFV s14628  14.5s
[21:50:34]   48/220  GFV s14626  16.5s
[21:50:46]   49/220  GFV s14629  14.8s
[21:50:47]   50/220  GFV s14631  14.6s
[21:50:47]   51/220  GFV s14632  14.6s
[21:50:47]   52/220  GFV s14633  14.4s
[21:50:47]   53/220  GFV s14630  15.1s
[21:50:50]   54/220  GFV s14634  16.3s
[21:51:02]   55/220  GFV s14635  16.1s
[21:51:03]   56/220  GFV s14636  16.0s
[21:51:03]   57/220  GFV s14638  16.0s
[21:51:04]   58/220  GFV s14639  16.9s
[21:51:04]   59/220  GFV s14637  17.7s
[21:51:08]   60/220  GFV s14640  18.4s
[21:51:53]   61/220  GFX s14622  50.7s
[21:51:54]   62/220  GFX s14623  50.9s
[21:51:55]   63/220  GFX s14624  51.0s
[21:51:55]   64/220  GFX s14621  53.5s
[21:51:57]   65/220  GFX s14625  52.1s
[21:52:00]   66/220  GFX s14626  51.7s
[21:52:34]   67/220  GFX s14628  40.2s
[21:52:35]   68/220  GFX s14627  41.5s
[21:52:36]   69/220  GFX s14632  35.9s
[21:52:36]   70/220  GFX s14631  39.6s
[21:52:37]   71/220  GFX s14630  42.2s
[21:52:39]   72/220  GFX s14629  44.5s
[21:53:05]   73/220  GFX s14634  30.3s
[21:53:09]   74/220  GFX s14633  34.6s
[21:53:11]   75/220  GFX s14636  35.1s
[21:53:15]   76/220  GFX s14637  37.6s
[21:53:15]   77/220  GFX s14635  39.4s
[21:53:19]   78/220  GFX s14638  39.6s
[21:53:37]   79/220  GFX s14639  32.1s
[21:53:43]   80/220  GFX s14640  34.8s
[21:53:46]   81/220  GFVX s14623  31.0s
[21:53:47]   82/220  GFVX s14621  36.2s
[21:53:49]   83/220  GFVX s14622  33.7s
[21:53:54]   84/220  GFVX s14624  34.9s
[21:54:13]   85/220  GFVX s14625  35.8s
[21:54:18]   86/220  GFVX s14626  34.8s
[21:54:19]   87/220  GFVX s14628  31.7s
[21:54:21]   88/220  GFVX s14627  34.5s
[21:54:24]   89/220  GFVX s14629  35.4s
[21:54:33]   90/220  GFVX s14630  39.3s
[21:54:55]   91/220  GFVX s14631  41.6s
[21:55:00]   92/220  GFVX s14634  39.1s
[21:55:02]   93/220  GFVX s14632  44.3s
[21:55:05]   94/220  GFVX s14633  45.6s
