[22:11:35] SUBIDA N6B — mundos {'D': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4, 'metas2': True, 'min_salidas': 3, 'margen': 2, 'p_max': 18}, 'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}} r_vis=1 T=100000 n_tel=40 semillas 14621-14640 brazos 11 pool=6 pid=27080 mundo_subida_b 214d5763758473fa
[22:11:35]   tronco v14.2 (inspect, difiere del defecto del mundo): {'eta_s': 0.15, 'clip_s': 10.0, 'mask_rel': 2, 'puerta_pat': 5, 'desambiguar': 1}
[22:11:35]   regla 14 CIEGO   vs subida_n6 CIEGO: 14 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[22:11:35]   regla 14 GF      vs subida_n6 GF   : 16 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[22:11:35]   regla 14 GFX     vs subida_n6 GF   : 16 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'explora', 'mask_rel', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max', 'puerta_pat'] (todas declaradas)
[22:11:35]   regla 14 UNA     vs subida_n6 GF   : 16 campos; difieren ['clip_s', 'desambiguar', 'eta_s', 'explora', 'mask_rel', 'puerta_pat'] (todas declaradas)
[22:11:35]   regla 14 GFX_13  vs subida_n6 GF   : 16 campos; difieren ['explora', 'prueba.margen', 'prueba.metas2', 'prueba.min_salidas', 'prueba.p_max'] (todas declaradas)
[22:11:49]   1/220  CIEGO s14624  13.7s
[22:11:50]   2/220  CIEGO s14623  14.0s
[22:11:50]   3/220  CIEGO s14626  14.1s
[22:11:50]   4/220  CIEGO s14621  14.3s
[22:11:50]   5/220  CIEGO s14625  14.3s
[22:11:50]   6/220  CIEGO s14622  14.4s
[22:12:04]   7/220  CIEGO s14627  15.0s
[22:12:05]   8/220  CIEGO s14628  14.9s
[22:12:05]   9/220  CIEGO s14629  14.9s
[22:12:05]   10/220  CIEGO s14631  14.7s
[22:12:05]   11/220  CIEGO s14632  15.2s
[22:12:05]   12/220  CIEGO s14630  15.4s
[22:12:17]   13/220  CIEGO s14633  12.5s
[22:12:17]   14/220  CIEGO s14634  12.5s
[22:12:17]   15/220  CIEGO s14635  12.7s
[22:12:18]   16/220  CIEGO s14636  12.9s
[22:12:18]   17/220  CIEGO s14637  12.4s
[22:12:18]   18/220  CIEGO s14638  12.6s
[22:12:27]   19/220  GF s14621  10.0s
[22:12:28]   20/220  CIEGO s14639  10.9s
[22:12:28]   21/220  CIEGO s14640  10.7s
[22:12:28]   22/220  GF s14622  10.5s
[22:12:29]   23/220  GF s14623  11.0s
[22:12:29]   24/220  GF s14624  11.2s
[22:12:42]   25/220  GF s14627  13.8s
[22:12:42]   26/220  GF s14628  14.2s
[22:12:43]   27/220  GF s14625  15.2s
[22:12:43]   28/220  GF s14626  15.7s
[22:12:44]   29/220  GF s14629  14.9s
[22:12:45]   30/220  GF s14630  15.7s
[22:12:57]   31/220  GF s14633  14.3s
[22:12:57]   32/220  GF s14632  15.0s
[22:12:57]   33/220  GF s14631  15.7s
[22:12:58]   34/220  GF s14635  14.7s
[22:12:58]   35/220  GF s14636  13.7s
[22:12:59]   36/220  GF s14634  15.2s
[22:13:07]   37/220  GF s14638  10.0s
[22:13:08]   38/220  GF s14637  10.7s
[22:13:08]   39/220  GF s14639  10.4s
[22:13:08]   40/220  GFV s14621  9.8s
[22:13:09]   41/220  GFV s14622  9.8s
[22:13:09]   42/220  GF s14640  11.1s
[22:13:17]   43/220  GFV s14623  9.9s
[22:13:18]   44/220  GFV s14625  9.9s
[22:13:18]   45/220  GFV s14627  9.6s
[22:13:18]   46/220  GFV s14624  10.6s
[22:13:19]   47/220  GFV s14628  9.7s
[22:13:19]   48/220  GFV s14626  10.9s
[22:13:28]   49/220  GFV s14629  10.4s
[22:13:28]   50/220  GFV s14631  9.7s
[22:13:28]   51/220  GFV s14630  10.2s
[22:13:28]   52/220  GFV s14632  10.1s
[22:13:29]   53/220  GFV s14633  10.0s
[22:13:30]   54/220  GFV s14634  11.2s
[22:13:38]   55/220  GFV s14636  9.8s
[22:13:38]   56/220  GFV s14635  10.2s
[22:13:38]   57/220  GFV s14638  10.0s
[22:13:39]   58/220  GFV s14637  11.2s
[22:13:40]   59/220  GFV s14639  10.7s
[22:13:41]   60/220  GFV s14640  11.0s
[22:14:18]   61/220  GFX s14622  40.5s
[22:14:19]   62/220  GFX s14623  40.4s
[22:14:20]   63/220  GFX s14621  42.2s
[22:14:20]   64/220  GFX s14624  40.7s
[22:14:22]   65/220  GFX s14625  42.2s
[22:14:25]   66/220  GFX s14626  43.3s
[22:15:00]   67/220  GFX s14628  41.6s
[22:15:02]   68/220  GFX s14627  43.4s
[22:15:03]   69/220  GFX s14632  38.7s
[22:15:04]   70/220  GFX s14631  42.2s
[22:15:05]   71/220  GFX s14630  44.8s
[22:15:07]   72/220  GFX s14629  47.3s
[22:15:42]   73/220  GFX s14634  40.1s
[22:15:42]   74/220  GFX s14633  41.7s
[22:15:48]   75/220  GFX s14637  43.1s
[22:15:48]   76/220  GFX s14636  43.9s
[22:15:51]   77/220  GFX s14635  47.2s
[22:15:53]   78/220  GFX s14638  45.8s
[22:16:22]   79/220  GFX s14639  40.4s
[22:16:22]   80/220  GFX s14640  40.2s
[22:16:31]   81/220  GFVX s14622  42.7s
[22:16:31]   82/220  GFVX s14623  40.8s
[22:16:33]   83/220  GFVX s14621  44.9s
[22:16:35]   84/220  GFVX s14624  42.4s
[22:17:11]   85/220  GFVX s14626  48.6s
[22:17:12]   86/220  GFVX s14625  49.6s
[22:17:18]   87/220  GFVX s14628  46.8s
[22:17:22]   88/220  GFVX s14627  51.6s
[22:17:23]   89/220  GFVX s14629  50.2s
[22:17:28]   90/220  GFVX s14630  53.2s
[22:18:01]   91/220  GFVX s14631  50.3s
[22:18:02]   92/220  GFVX s14632  50.7s
[22:18:08]   93/220  GFVX s14634  45.6s
[22:18:10]   94/220  GFVX s14633  51.5s
[22:18:16]   95/220  GFVX s14635  52.7s
[22:18:19]   96/220  GFVX s14636  50.9s
[22:18:50]   97/220  GFVX s14638  47.9s
[22:18:51]   98/220  GFVX s14639  42.7s
[22:18:52]   99/220  GFVX s14637  50.9s
[22:18:58]   100/220  GFVX s14640  48.8s
[22:19:09]   101/220  BRUJULA s14621  53.0s
[22:19:11]   102/220  BRUJULA s14622  51.8s
[22:19:40]   103/220  BRUJULA s14623  49.4s
[22:19:42]   104/220  BRUJULA s14624  51.2s
[22:19:42]   105/220  BRUJULA s14625  50.5s
[22:19:51]   106/220  BRUJULA s14626  52.3s
[22:19:59]   107/220  BRUJULA s14628  48.3s
[22:20:00]   108/220  BRUJULA s14627  51.4s
[22:20:26]   109/220  BRUJULA s14629  46.5s
[22:20:31]   110/220  BRUJULA s14631  48.9s
[22:20:34]   111/220  BRUJULA s14630  52.0s
[22:20:45]   112/220  BRUJULA s14632  54.0s
[22:20:46]   113/220  BRUJULA s14634  45.7s
[22:20:48]   114/220  BRUJULA s14633  48.2s
[22:21:17]   115/220  BRUJULA s14635  50.6s
[22:21:22]   116/220  BRUJULA s14636  50.4s
[22:21:22]   117/220  BRUJULA s14637  48.4s
[22:21:26]   118/220  BRUJULA s14638  41.1s
[22:21:33]   119/220  BRUJULA s14640  45.3s
[22:21:33]   120/220  BRUJULA s14639  47.4s
[22:22:01]   121/220  BARAJADO s14621  44.2s
[22:22:04]   122/220  BARAJADO s14622  42.7s
[22:22:05]   123/220  BARAJADO s14623  43.1s
[22:22:09]   124/220  BARAJADO s14624  43.0s
[22:22:17]   125/220  BARAJADO s14625  43.7s
[22:22:17]   126/220  BARAJADO s14626  43.9s
